2pac-trapped	TRYURZE12519EE3011
5th_dimension-one_less_bell_to_answer	TRVZZOL12519AA54F9
10cc-for_you_and_i	TRFRGEK12519EDF579
a_tribe_called_quest-bonita_applebum	TREJSXQ12519EE3012
aaron_neville-tell_it_like_it_is	TRRZBCW12519EEE7A9
abba-s.o.s.	TRNUEMH12519EE0131
abc-poison_arrow	TROKWAM12519EEE7AA
ac_dc-dirty_deeds_done_dirt_cheap	TRCTVWF12519EE0132
adam_and_the_ants-prince_charming	TRDGCOY12519EE2072
adam_ant-wonderful	TREABWE12519958CB0
adverts-gary_gilmores_eyes	TRUKZOE12519EDE9C1
aerobic_jonquil-sweat_machine	TRPGJCE120E7ECEAAD
aerosmith-dude_looks_like_a_lady	TRWNXRY124DF139947
aimee_mann-wise_up	TRKNIRP12519EDE9C1
air-sexy_boy	TRZBIGD12519EE5EF2
al_green-sha-la-la_make_me_happy	TRFJZYG1251E5DB761
alanis_morissette-thank_u	TRJCJMK12519EDF961
alice_cooper-elected	TRLWFQK12519EF83E9
alice_in_chains-no_excuses	TRESOGN12519EF262A
alicia_keys-fallin	TRNBPKD12519EDFD4A
allman_brothers_band-melissa	TRGJCSH12519EDE9C2
altered_images-dont_talk_to_me_about_love	TRZSGWO12519EE8603
american_music_club-jesus_hands	TRSTWJC12519EDF963
andrews_sisters-boogie_woogie_bugle_boy	TRJGTVO12519EDE9C2
ani_difranco-crime_for_crime	TRIQPYX12519958CB2
animals-im_crying	TRIPFCW12519EE0519
anita_baker-caught_up_in_the_rapture	TRROKJO1251A0263F1
antiguru-peering	TRSAHXF1251A037D31
antonio_carlos_jobim-wave	TRDHRCI1251A017991
anup-life_glides	TRVKZWA120E7ECEF58
aphex_twin-come_to_daddy	TRWPNRL1251A016DD9
apples_in_stereo-glowworm	TRHRMPJ1251A017991
aretha_franklin-dont_play_that_song	TRSQGGR1251A01C7B1
arlo_guthrie-alices_restaurant_massacree	TRGWQTG1251A017991
art_tatum-willow_weep_for_me	TRBLKNR1251A016DDA
artemis-don_t_look_back	TRLQCQJ120E7ECF048
arthur_alexander-you_dont_care	TRVCYTY1251A0749D9
arthur_yoria-at_least_you_ve_been_told	TRUHNXQ120E7ECF383
ashford_and_simpson-solid	TRKKUAU1251A0749DA
association-windy	TRWLQFS1251A0745F1
atomic_opera-watergrave	TRMTHCV120E7ECF360
b.b._king-sweet_little_angel	TRKLWYD1251A067301
backstreet_boys-as_long_as_you_love_me	TRGOXPQ1251A0A6E89
badly_drawn_boy-all_possibilities	TRCPKHF12519EDE9C4
band-king_harvest_has_surely_come	TRCCRHN1251E932EE1
barbara_leoni-don_t_rain_on_my_parade	TRXXKIX120E7ECE88F
barenaked_ladies-its_all_been_done	TROYPUS1251A0C85B1
barry_manilow-mandy	TRWBWIA1251A0A62D1
barry_white-cant_get_enough_of_your_love_babe	TRNRCYK1251EBC2B11
bauhaus-ziggy_stardust	TRAZFSV1251A0A6E89
bay_city_rollers-saturday_night	TRGELCV1251A0749DB
beach_boys-i_get_around	TRSLEKW1251A0A6AA1
beatles-strawberry_fields_forever	TRRKMWF1251A0A6AA1
beatundercontrol-this_is_beatundercontrol	TRQNZLK120E7ECEC10
beautiful_south-one_last_love_song	TRJGPUD1251A112549
beck-where_its_at	TRVPWRP1251A135F99
bee_gees-stayin_alive	TRPXKJV1251A140F61
belief_systems-skunk_werks	TRDHUVE120E7ECF0DD
belle_and_sebastian-like_dylan_in_the_movies	TRRSOXV1251A14D2B1
ben_folds_five-brick	TRVHXVX1251A14B371
beth_quist-survival	TRTJJAY120E7ECE960
big_star-in_the_street	TRKXBUQ1251A16D269
billie_holiday-god_bless_the_child	TRDJHNW1251A16F591
billy_bragg-jeane	TRNSIJW1251A164D99
billy_joel-we_didnt_start_the_fire	TRQRHFW1251A1649B1
birthday_party-mr._clarinet	TRNMXTT1251A164D99
bjrk-army_of_me	TRPMJHI1251A164D99
black_crowes-thorn_in_my_pride	TRASLLO1251A1C4109
black_flag-six_pack	TRWCWAN1251A1BFEA1
black_sabbath-black_sabbath	TRZSCKE1251A1C8B41
blind_faith-had_to_cry_today	TRGSYCT1251A1C77B9
blind_melon-no_rain	TRDMCNP1251A1BD3A9
blondie-rapture	TRXAFMC1251A204C31
blood_sweat_and_tears-sometimes_in_winter	TRICBAF1251FFF78B1
blue_yster_cult-burnin_for_you	TRKGAEA1251A1EA651
blur-country_house	TRMGVOJ1251A219069
bo_diddley-you_cant_judge_a_book_by_its_cover	TRZRZRQ1251A221D09
bob_dylan-ill_be_your_baby_tonight	TRPNXYV1251A2107B1
bob_marley_and_the_wailers-three_little_birds	TRESDAB1251A247699
bob_seger-turn_the_page	TRLZSPE123F295DD9E
bobby_brown-my_prerogative	TRVKVFF1251A24B519
bobby_fuller_four-i_fought_the_law	TRDXOKN1251A20E0A1
bobby_womack-womans_gotta_have_it	TRMSDWA1251A25F181
bomb_the_bass-bug_powder_dust	TRLSNIF1251A24E7E1
bon_jovi-livin_on_a_prayer	TRFHFNF1251A254989
bonnie_tyler-total_eclipse_of_the_heart	TRUFGJV1231F68B567
boo_radleys-wake_up_boo	TRUYIVF1251FD19699
boogie_down_productions-the_bridge_is_over	TRNAXTS1251A294511
booker_t._and_the_mgs-time_is_tight	TRAZZEY1251A27B2B9
boston-more_than_a_feeling	TRNNIBP1251A255D11
bots-take_the_power_back	TRMSNPF120E7ECF33E
brad_sucks-overreacting	TRYSEMT120E7ECF2F6
bread-if	TRVPSZN1251A27C641
breeders-cannonball	TRYPZLG1251A285E99
brenton_wood-lovey_dovey_kind_of_love	TRGSMFD1251A279B49
brian_eno-here_come_the_warm_jets	TRLSTOK1251A2610C1
britney_spears-im_a_slave_for_you	TRUZWJT1251A2C3311
bruce_springsteen-badlands	TRERCPS1251A2D34E1
bryan_adams-cuts_like_a_knife	TRNPYSW1251A2F4439
buddy_holly-peggy_sue	TRLXMEC1251A2D9A71
buena_vista_social_club-el_cuarto_de_tula	TRELHYC1251A31B539
buffalo_springfield-for_what_its_worth	TRKVLQQ1251A2FEC31
buffalo_springfield-mr._soul	TRPXMTY1251A31A981
buggles-video_killed_the_radio_star	TRTQTRA1251A32E5E9
built_to_spill-i_would_hurt_a_fly	TRIRBUU1251A31E419
burnshee_thornside-goodbye_on_a_beautiful_day	TRGQUJC120E7ECEC9D
bush-comedown	TRZHXEN1251A3195F9
busta_rhymes-woo_hah_got_you_all_in_check	TRLFNHQ1251A33B4F1
buzzcocks-everybodys_happy_nowadays	TRRDKZN1251A33BCC1
byrds-wasnt_born_to_follow	TRRJXZC1251A32C6A9
c_layne-devil_and_the_woman	TRPQNWN120E7ECF447
cab_calloway-minnie_the_moocher	TRLYCFJ1251A36D5B9
cake-perhaps,_perhaps,_perhaps	TRIGAZZ1251A374AE9
camper_van_beethoven-take_the_skinheads_bowling	TRUGTLI1251A38C1E9
canned_heat-on_the_road_again	TRDBTXT1251A32CA91
captain_beefheart_and_the_magic_band-safe_as_milk	TRELKYS1251A394AA1
cardigans-lovefool	TRHTXSF1251A3B84F1
cargo_cult-garden	TRGMNBK120E7ECF49C
carl_perkins-matchbox	TRBZIJA1251A3CA219
carly_simon-youre_so_vain	TRSSEDG1251A3AB9D1
carole_king-youve_got_a_friend	TRNUVDB1251A3C6F51
carpenters-rainy_days_and_mondays	TRQUQZM1251A3EE051
cars-good_times_roll	TRAOQTQ1251A3F78A9
cat_power-he_war	TRYIQHC1251A400161
catherine_wheel-black_metallic	TRUJNGF1251A413DC9
cc_music_factory-gonna_make_you_sweat_everybody_dance_now	TRJVMBD124A7167FCC
chad_and_jeremy-before_and_after	TRETWCZ1251A420119
chantal_kreviazuk-surrounded	TRNQROV1251A40B8F9
charles_mingus-mood_indigo	TRRPFBY1251A43C639
charlie_parker-ornithology	TRUPFVW1251A447DD1
charlie_rich-behind_closed_doors	TRHMCQY1251A429D59
cheap_trick-dream_police	TRAEFBG1251A442011
chemical_brothers-setting_sun	TRXOZTT1251A46B439
cheryl_ann_fulton-marsh_of_rhuddlan	TROFYYW120E7ECF512
chet_baker-these_foolish_things	TRQGDZD1251A4548F1
chi-lites-stoned_out_of_my_mind	TRAGRFK1251A49C949
chic-le_freak	TRRUHIY1251A4A80E1
chicago-if_you_leave_me_now	TRMZEGY1251A4967A1
chills-i_love_my_leather_jacket	TRIBNUM1251A4B1551
chris_juergensen-prospects	TRPHAWE120E7ECE91D
christina_aguilera-genie_in_a_bottle	TRFAVVL1251A4D6329
chuck_berry-roll_over_beethoven	TRWDYBG1251A4D4FA1
chumbawamba-tubthumping	TRMSIIY1251A4CBB31
church-under_the_milky_way	TRJKYRD1251A4D72C9
cilla_black-alfie	TRFYDSF1251A5058F9
clarence_ashley-the_house_carpenter	TRZSEEL1251A512419
clash-lost_in_the_supermarket	TREWPJF1251A526081
coasters-poison_ivy	TRQYSDH1251A531431
coldplay-clocks	TRJZMJJ1235D8F23AE
contours-do_you_love_me	TRNTFQL1251A54DD39
count_basie-lester_leaps_in	TRUZKMH1251A559CA1
counting_crows-speedway	TRJUGJG1251A549EB9
cowboy_junkies-postcard_blues	TRWOHCJ1251A578CB9
cranberries-linger	TRSDZJG1251A562559
cream-tales_of_brave_ulysses	TRAZIKZ1251A58D0F1
creedence_clearwater_revival-travelin_band	TRHJEYG1251A592EB1
crosby_stills_nash_and_young-teach_your_children	TRPGIYW1251FFF7C99
crosby_stills_and_nash-guinnevere	TRALRAI1251FD19699
curandero-aras	TRPOZKN1251A5AAD81
cure-just_like_heaven	TRGGKHR1251A5903B9
curtis_mayfield-move_on_up	TRPKCOZ1251A5CE3E9
cyndi_lauper-money_changes_everything	TRTAAJM1251A586391
cypress_hill-lowrider	TRLWCOC1251A5DF559
daft_punk-da_funk	TRDNJAD1251A5ED019
darkness-i_believe_in_a_thing_called_love	TREWEKQ1251A5FCE01
dave_matthews_band-ants_marching	TRAFVEA1251A5FA6F1
david_bowie-song_for_bob_dylan	TRIQRYV1251A613179
de_la_soul-eye_know	TRYUYZE1251A626611
dead_kennedys-chemical_warfare	TRSOOFJ1251A5E7A29
def_leppard-pour_some_sugar_on_me	TRQZCJU1251A620081
dennis_brown-tribulation	TRNKZTY1251A626612
depeche_mode-world_in_my_eyes	TRDDLQB1251A647569
